Misspelled_Make,Misspelled_Model,Correct_Make,Correct_Model
BMV,Vision Circular,BMW,Vision Circular
Audi,Grand Sphere,Audi,Grand Sphere
Lexuss,RZ Sport Concept,Lexus,RZ Sport Concept
Mazda,Vision Study Model,Mazda,Vision Study Model
Subaru,Viziv Adrenaline,Subaru,Viziv Adrenaline
Acurra,Precision EV Concept,Acura,Precision EV Concept
Jeap,Magneto 3.0,Jeep,Magneto 3.0
Chryseler,Synthesis Cockpit,Chrysler,Synthesis Cockpit
Infiniti,Prototype 10,Infiniti,Prototype 10
Buik,Wildcat EV,Buick,Wildcat EV
Lincolnn,Anniversary Concept,Lincoln,Anniversary Concept
Cadilac,InnerSpace,Cadillac,InnerSpace
Porche,911 Vision Safari,Porsche,911 Vision Safari
Jagwar,Vision Gran Turismo SV,Jaguar,Vision Gran Turismo SV
Landrover,DC100,Land Rover,DC100
Volvoe,360c,Volvo,360c
GMC,Terradyne,GMC,Terradyne
Dodge,Super8 Hemi,Dodge,Super8 Hemi
Ram,Long Hauler,Ram,Long Hauler
Tesler,Cyber Quad,Tesla,Cyber Quad
Mini,Rocketman,Mini,Rocketman
Fiat,120,Fiat,120
Alfa Romio,Proteo,Alfa Romeo,Proteo
Genisis,X Speedium Coupe,Genesis,X Speedium Coupe
Mitsubishe,e-Evolution,Mitsubishi,e-Evolution
Toyotta,FT-1,Toyota,FT-1
Honnda,Sports EV Concept,Honda,Sports EV Concept
Forde,Visos,Ford,Visos
Chevrolett,Code 130R,Chevrolet,Code 130R
Mersedes,F 015,Mercedes,F 015
Nisan,IDx,Nissan,IDx
Volswagon,W12,Volkswagen,W12
Hyndai,N Vision 74,Hyundai,N Vision 74
Kiaa,GT4 Stinger,Kia,GT4 Stinger
BMV,328 Hommage,BMW,328 Hommage
Audi,Skysphere,Audi,Skysphere
Lexuss,Sport Yacht Concept,Lexus,Sport Yacht Concept
Mazda,Furai,Mazda,Furai
Subaru,B9 Scrambler,Subaru,B9 Scrambler
Acurra,Advanced Sports Car Concept,Acura,Advanced Sports Car Concept
Jeap,Hurricane,Jeep,Hurricane
Chryseler,ME Four-Twelve,Chrysler,ME Four-Twelve
Infiniti,Emerg-E,Infiniti,Emerg-E
Buik,Avista,Buick,Avista
Lincolnn,MKR,Lincoln,MKR
Cadilac,Ciel,Cadillac,Ciel
Porche,919 Street,Porsche,919 Street
Jagwar,C-X17,Jaguar,C-X17
Landrover,LRX,Land Rover,LRX
Volvoe,Air Motion,Volvo,Air Motion
GMC,Graphyte,GMC,Graphyte
Dodge,Copperhead,Dodge,Copperhead
Ram,Macho Power Wagon,Ram,Macho Power Wagon
Tesler,Snake,Tesla,Snake
Mini,Vision Urbanaut,Mini,Vision Urbanaut
Fiat,ESC,Fiat,ESC
Alfa Romio,Carabo,Alfa Romeo,Carabo
Genisis,New York Concept,Genesis,New York Concept
Mitsubishe,GT-PHEV,Mitsubishi,GT-PHEV
Toyotta,Alessandro Volta,Toyota,Alessandro Volta
Honnda,Project 2&4,Honda,Project 2&4
Forde,Indigo,Ford,Indigo
Chevrolett,Chaparral 2X Vision Gran Turismo,Chevrolet,Chaparral 2X Vision Gran Turismo
Mersedes,Biome,Mercedes,Biome
Nisan,BladeGlider,Nissan,BladeGlider
Volswagon,GTE Sport,Volkswagen,GTE Sport
Hyndai,Le Fil Rouge,Hyundai,Le Fil Rouge
Kiaa,Pop,Kia,Pop
BMV,GINA,BMW,GINA
Audi,PB18 e-tron,Audi,PB18 e-tron
Lexuss,LF-30,Lexus,LF-30
Mazda,Taiki,Mazda,Taiki
Subaru,B11S,Subaru,B11S
Acurra,Advanced Sedan Concept,Acura,Advanced Sedan Concept
Jeap,Treo,Jeep,Treo
Chryseler,Firepower,Chrysler,Firepower
Infiniti,Q80 Inspiration,Infiniti,Q80 Inspiration
Buik,Riviera,Buick,Riviera
Lincolnn,C Concept,Lincoln,C Concept
Cadilac,Elmiraj,Cadillac,Elmiraj
Porche,Mission E Cross Turismo,Porsche,Mission E Cross Turismo
Jagwar,Project 7,Jaguar,Project 7
Landrover,e-Terrain,Land Rover,e-Terrain
Volvoe,Estate,Volvo,Estate
GMC,Pad,GMC,Pad
Dodge,M80,Dodge,M80
Ram,Rumble Bee,Ram,Rumble Bee
Tesler,Roadster Sport,Tesla,Roadster Sport
Mini,Beachcomber,Mini,Beachcomber
Fiat,Trepiuno,Fiat,Trepiuno
Alfa Romio,Bella,Alfa Romeo,Bella
Genisis,Concept Car,Genesis,Concept Car
Mitsubishe,Race,Mitsubishi,RACE
Toyotta,Fine-Comfort Ride,Toyota,Fine-Comfort Ride
Honnda,Urban EV,Honda,Urban EV
Forde,Interceptor,Ford,Interceptor
Chevrolett,CERV III,Chevrolet,CERV III
Mersedes,Ener-G-Force,Mercedes,Ener-G-Force
Nisan,Xmotion,Nissan,Xmotion
Volswagon,Nardo W12,Volkswagen,Nardo W12
Hyndai,HCD-6,Hyundai,HCD-6
Kiaa,KCV-III,Kia,KCV-III
BMV,Vision Next 100,BMW,Vision Next 100
Audi,Rosemeyer,Audi,Rosemeyer
Lexuss,LF-LC,Lexus,LF-LC
Mazda,Ryuga,Mazda,Ryuga
Subaru,SVX,Subaru,SVX
Acurra,DN-X,Acura,DN-X
Jeap,Willys2,Jeep,Willys2
Chryseler,Imperial,Chrysler,Imperial
Infiniti,Essence,Infiniti,Essence
Buik,Cielo,Buick,Cielo
Lincolnn,Futura,Lincoln,Futura
Cadilac,Sixteen,Cadillac,Sixteen
Porche,918 RSR,Porsche,918 RSR
Jagwar,R-Coupe,Jaguar,R-Coupe
Landrover,Range Stormer,Land Rover,Range Stormer
Volvoe,YCC,Volvo,YCC
GMC,Terracross,GMC,Terracross
Dodge,Kahuna,Dodge,Kahuna
Ram,Mega Cab,Ram,Mega Cab
Tesler,Bluestar,Tesla,Bluestar
Mini,Superleggera Vision,Mini,Superleggera Vision
Fiat,Phylla,Fiat,Phylla
Alfa Romio,Nuvola,Alfa Romeo,Nuvola
Genisis,GV80 Concept,Genesis,GV80 Concept
Mitsubishe,HSR,Mitsubishi,HSR
Toyotta,GRMN Sports Hybrid Concept II,Toyota,GRMN Sports Hybrid Concept II
Honnda,Dualnote,Honda,Dualnote
Forde,Shelby GR-1,Ford,Shelby GR-1
Chevrolett,Tru 140S,Chevrolet,Tru 140S
Mersedes,Style Coupe,Mercedes,Style Coupe
Nisan,Sway,Nissan,Sway
Volswagon,W12 Coupe,Volkswagen,W12 Coupe
Hyndai,Arnejs,Hyundai,Arnejs
Kiaa,Soul'ster,Kia,Soul'ster
BMV,Lovos,BMW,LOVOS
Audi,Avus Quattro,Audi,Avus Quattro
Lexuss,LF-Xh,Lexus,LF-Xh
Mazda,Nagare,Mazda,Nagare
Subaru,SRD-1,Subaru,SRD-1
Acurra,Advanced Tourer,Acura,Advanced Tourer
Jeap,Nukizer 715,Jeep,Nukizer 715
Chryseler,Chronos,Chrysler,Chronos
Infiniti,Kuraza,Infiniti,Kuraza
Buik,Centieme,Buick,Centieme
Lincolnn,Navicross,Lincoln,Navicross
Cadilac,Urban Luxury,Cadillac,Urban Luxury
Porche,Le Mans Living Legend,Porsche,Le Mans Living Legend
Jagwar,RD-6,Jaguar,RD-6
Landrover,Freelander Callaway,Land Rover,Freelander Callaway
Volvoe,3CC,Volvo,3CC
GMC,Envoy XUV,GMC,Envoy XUV
Dodge,Sling Shot,Dodge,Sling Shot
Ram,Lone Star,Ram,Lone Star
Tesler,Whitestar,Tesla,WhiteStar
Mini,Paceman,Mini,Paceman
Fiat,XXX,Fiat,XXX
Alfa Romio,Kamal,Alfa Romeo,Kamal
Genisis,Essentia Concept,Genesis,Essentia Concept
Mitsubishe,Concept-RA,Mitsubishi,Concept-RA
Toyotta,A-BAT,Toyota,A-BAT
Honnda,HSC,Honda,HSC
Forde,MA,Ford,MA
Chevrolett,Miray,Chevrolet,Miray
Mersedes,F600 Hyggelight,Mercedes,F600 Hyggelight
Nisan,Pivo,Nissan,Pivo
Volswagon,EcoRacer,Volkswagen,EcoRacer
Hyndai,Clix,Hyundai,Clix
Kiaa,Multi-S,Kia,Multi-S
BMV,X Coupe,BMW,X Coupe
Audi,Nanuk Quattro,Audi,Nanuk Quattro
Lexuss,LF-SA,Lexus,LF-SA
Mazda,Kabura,Mazda,Kabura
Subaru,G4e,Subaru,G4e
Acurra,2&4,Acura,2&4
Jeap,Gladiator Concept,Jeep,Gladiator Concept
Chryseler,Phaeton,Chrysler,Phaeton
Infiniti,Triant,Infiniti,Triant
Buik,Bengal,Buick,Bengal
Lincolnn,MKF,Lincoln,MKF
Cadilac,Converj,Cadillac,Converj
Porche,Boxster Bergspyder,Porsche,Boxster Bergspyder
Jagwar,C-XF,Jaguar,C-XF
Landrover,Sentinel,Land Rover,Sentinel
Volvoe,Venus Bilo,Volvo,Venus Bilo
GMC,Terrain Graphyte,GMC,Terrain Graphyte
Dodge,Razor,Dodge,Razor
Ram,Low Down,Ram,Low Down
Tesler,Cybertruck Plaid,Tesla,Cybertruck Plaid
Mini,Mission Control,Mini,Mission Control
Fiat,FCC II,Fiat,FCC II
Alfa Romio,Brera,Alfa Romeo,Brera
Genisis,X Concept,Genesis,X Concept
Mitsubishe,eX Concept,Mitsubishi,eX Concept
Toyotta,Rhombus,Toyota,Rhombus
Honnda,J-VX,Honda,J-VX
Forde,Iosis,Ford,Iosis
Chevrolett,Bolt EUV,Chevrolet,Bolt EUV
Mersedes,Maybach 6,Mercedes,Maybach 6
Nisan,IMs,Nissan,IMs
Volswagon,AAC,Volkswagen,AAC
Hyndai,Kite,Hyundai,Kite
Kiaa,Provo,Kia,Provo
BMV,ActiveE,BMW,ActiveE
Audi,AI:Trail,Audi,AI:Trail
Lexuss,LF-A,Lexus,LF-A
Mazda,Shinari,Mazda,Shinari
Subaru,P-1,Subaru,P-1
Acurra,CL-X,Acura,CL-X
Jeap,J-12,Jeep,J-12
Chryseler,Akino,Chrysler,Akino
Infiniti,FX45,Infiniti,FX45
Buik,Velite,Buick,Velite
Lincolnn,Mk9,Lincoln,MK9
Cadilac,Provoq,Cadillac,Provoq
Porche,917 Living Legend,Porsche,917 Living Legend
Jagwar,B99,Jaguar,B99
Landrover,Michelotti Dakar,Land Rover,Michelotti Dakar
Volvoe,T6,Volvo,T6
GMC,Debutante,GMC,Debutante
Dodge,Challenger GT AWD,Dodge,Challenger GT AWD
Ram,TRX Rebel,Ram,TRX Rebel
Tesler,Van,Tesla,Van
Mini,Coupe,Mini,Coupe
Fiat,Portofino,Fiat,Portofino
Alfa Romio,Pandion,Alfa Romeo,Pandion
Genisis,Mint Concept,Genesis,Mint Concept
Mitsubishe,D:5 Delica,Mitsubishi,D:5 Delica
Toyotta,Tj Cruiser,Toyota,Tj Cruiser
Honnda,Remix,Honda,Remix
Forde,Airstream,Ford,Airstream
Chevrolett,SSR,Chevrolet,SSR
Mersedes,Avatar,Mercedes,AVTR
Nisan,Gripz,Nissan,Gripz
Volswagon,Space Vizzion,Volkswagen,Space Vizzion
Hyndai,Intrado,Hyundai,Intrado
Kiaa,Track'ster,Kia,Track'ster
BMV,Concept 4,BMW,Concept 4
Audi,AI:ME,Audi,AI:ME
Lexuss,LF-1 Limitless,Lexus,LF-1 Limitless
Mazda,Koeru,Mazda,Koeru
Subaru,Viziv Performance STI,Subaru,VIZIV Performance STI
Acurra,Precision Concept,Acura,Precision Concept
Jeap,Yuntu,Jeep,Yuntu
Chryseler,ecoVoyager,Chrysler,ecoVoyager
Infiniti,QX Sport Inspiration,Infiniti,QX Sport Inspiration
Buik,Enspire,Buick,Enspire
Lincolnn,Aviator Concept,Lincoln,Aviator Concept
Cadilac,Escala,Cadillac,Escala
Porche,Mission R,Porsche,Mission R
Jagwar,I-Type,Jaguar,I-Type
Landrover,Vision Concept,Land Rover,Vision Concept
Volvoe,40.2,Volvo,40.2
GMC,All Terrain,GMC,All Terrain
Dodge,Super Bee,Dodge,Super Bee
Ram,Rebel TRX,Ram,Rebel TRX
Tesler,ATV,Tesla,ATV
Mini,Vision Next 100,Mini,Vision Next 100
Fiat,Concept Centoventi,Fiat,Concept Centoventi
Alfa Romio,4C,Alfa Romeo,4C
Genisis,X Speedium Coupe,Genesis,X Speedium Coupe
Mitsubishe,MI-TECH,Mitsubishi,MI-TECH
Toyotta,Mirai,Toyota,Mirai
Honnda,E,Honda,e
Forde,Mondeo,Ford,Mondeo
Chevrolett,Menlo,Chevrolet,Menlo
Mersedes,EQS SUV,Mercedes,EQS SUV
Nisan,Terra,Nissan,Terra
Volswagon,ID.6,Volkswagen,ID.6
Hyndai,Bayon,Hyundai,Bayon
Kiaa,Mohave,Kia,Mohave
BMV,iX1,BMW,iX1
Audi,Q4 Sportback e-tron,Audi,Q4 Sportback e-tron
Lexuss,UX 300e,Lexus,UX 300e
Mazda,MX-30 e-Skyactiv R-EV,Mazda,MX-30 e-Skyactiv R-EV
Subaru,Evoltis,Subaru,Evoltis
Acurra,CDX,Acura,CDX
Jeap,Commander,Jeep,Commander
Chryseler,Voyager,Chrysler,Voyager
Infiniti,QX55,Infiniti,QX55
Buik,Verano,Buick,Verano
Lincolnn,Corsair,Lincoln,Corsair
Cadilac,Lyriq,Cadillac,LYRIQ
Porche,Panamera Sport Turismo,Porsche,Panamera Sport Turismo
Jagwar,XF Sportbrake,Jaguar,XF Sportbrake
Landrover,Defender V8,Land Rover,Defender V8
Volvoe,C40,Volvo,C40
GMC,Hummer EV Pickup,GMC,Hummer EV Pickup
Dodge,Hornet,Dodge,Hornet
Ram,ProMaster City,Ram,ProMaster City
Tesler,Semi,Tesla,Semi
Mini,Electric,Mini,Electric
Fiat,500X,Fiat,500X
Alfa Romio,Stelvio,Alfa Romeo,Stelvio
Genisis,G70 Shooting Brake,Genesis,G70 Shooting Brake
Mitsubishe,Eclipse Cross PHEV,Mitsubishi,Eclipse Cross PHEV
Toyotta,bZ3,Toyota,bZ3
Honnda,Breeze,Honda,Breeze
Forde,Equator,Ford,Equator
Chevrolett,Onix,Chevrolet,Onix
Mersedes,EQB,Mercedes,EQB
Nisan,Magnite,Nissan,Magnite
Volswagon,Nivus,Volkswagen,Nivus
Hyndai,Alcazar,Hyundai,Alcazar
Kiaa,Sonet,Kia,Sonet
BMV,i4 eDrive35,BMW,i4 eDrive35
Audi,e-tron GT,Audi,e-tron GT
Lexuss,RZ,Lexus,RZ
Mazda,CX-60,Mazda,CX-60
Subaru,Ascent,Subaru,Ascent
Acurra,RDX,Acura,RDX
Jeap,Meridian,Jeep,Meridian
Chryseler,300,Chrysler,300
Infiniti,QX60,Infiniti,QX60
Buik,GL8 Avenir,Buick,GL8 Avenir
Lincolnn,Nautilus,Lincoln,Nautilus
Cadilac,CT5,Cadillac,CT5
Porche,911 GT3 RS,Porsche,911 GT3 RS
Jagwar,F-Pace SVR,Jaguar,F-Pace SVR
Landrover,Range Rover Evoque,Land Rover,Range Rover Evoque
Volvoe,S60,Volvo,S60
GMC,Canyon AT4X,GMC,Canyon AT4X
Dodge,Durango SRT Hellcat,Dodge,Durango SRT Hellcat
Ram,1500 REV,Ram,1500 REV
Tesler,Cybertruck,Tesla,Cybertruck
Mini,Countryman,Mini,Countryman
Fiat,Pulse,Fiat,Pulse
Alfa Romio,Tonale,Alfa Romeo,Tonale
Genisis,Electrified GV70,Genesis,Electrified GV70
Mitsubishe,Xpander,Mitsubishi,Xpander
Toyotta,Crown Sport,Toyota,Crown Sport
Honnda,WR-V,Honda,WR-V
Forde,Everest,Ford,Everest
Chevrolett,Groove,Chevrolet,Groove
Mersedes,EQE SUV,Mercedes,EQE SUV
Nisan,Kicks e-Power,Nissan,Kicks e-Power
Volswagon,Virtus,Volkswagen,Virtus
Hyndai,Aura,Hyundai,Aura
Kiaa,Carnival Hi-Limousine,Kia,Carnival Hi-Limousine
BMV,X1,BMW,X1
Audi,Q8 e-tron,Audi,Q8 e-tron
Lexuss,LM,Lexus,LM
Mazda,CX-90,Mazda,CX-90
Subaru,Crosstrek,Subaru,Crosstrek
Acurra,Integra Type S,Acura,Integra Type S
Jeap,Compass 4xe,Jeep,Compass 4xe
Chryseler,Pacifica,Chrysler,Pacifica
Infiniti,QX50,Infiniti,QX50
Buik,Envista,Buick,Envista
Lincolnn,Aviator,Lincoln,Aviator
Cadilac,Celestiq,Cadillac,CELESTIQ
Porche,718 Cayman GT4 RS,Porsche,718 Cayman GT4 RS
Jagwar,I-Pace,Jaguar,I-Pace
Landrover,Discovery Sport,Land Rover,Discovery Sport
Volvoe,EX30,Volvo,EX30
GMC,Sierra EV,GMC,Sierra EV
Dodge,Charger Daytona SRT,Dodge,Charger Daytona SRT
Ram,2500 Power Wagon,Ram,2500 Power Wagon
Tesler,Roadster,Tesla,Roadster
Mini,John Cooper Works,Mini,John Cooper Works
Fiat,Fastback,Fiat,Fastback
Alfa Romio,Giulia GTA,Alfa Romeo,Giulia GTA
Genisis,GV80 Coupe,Genesis,GV80 Coupe
Mitsubishe,Triton,Mitsubishi,Triton
Toyotta,Urban Cruiser,Toyota,Urban Cruiser
Honnda,City,Honda,City
Forde,Ranger Raptor,Ford,Ranger Raptor
Chevrolett,Tracker,Chevrolet,Tracker
Mersedes,EQV,Mercedes,EQV
Nisan,Serena,Nissan,Serena
Volswagon,Talagon,Volkswagen,Talagon
Hyndai,Custo,Hyundai,Custo
Kiaa,Seltos X-Line,Kia,Seltos X-Line
BMV,XM,BMW,XM
Audi,RS3,Audi,RS3
Lexuss,RX 500h,Lexus,RX 500h
Mazda,CX-8,Mazda,CX-8
Subaru,BRZ tS,Subaru,BRZ tS
Acurra,TLX Type S PMC Edition,Acura,TLX Type S PMC Edition
Jeap,Wagoneer L,Jeep,Wagoneer L
Chryseler,Airflow,Chrysler,Airflow
Infiniti,QX80 Sensory,Infiniti,QX80 Sensory
Buik,Electra E5,Buick,Electra E5
Lincolnn,Star Concept,Lincoln,Star Concept
Cadilac,Escalade IQ,Cadillac,Escalade IQ
Porche,Mission X,Porsche,Mission X
Jagwar,XJ Electric,Jaguar,XJ Electric
Landrover,Range Rover Sport SV,Land Rover,Range Rover Sport SV
Volvoe,EM90,Volvo,EM90
GMC,Acadia,GMC,Acadia
Dodge,Challenger Black Ghost,Dodge,Challenger Black Ghost
Ram,1500 TRX Havoc Edition,Ram,1500 TRX Havoc Edition
Tesler,Model 2,Tesla,Model 2
Mini,Aceman,Mini,Aceman
Fiat,Titano,Fiat,Titano
Alfa Romio,Giulietta,Alfa Romeo,Giulietta
Genisis,X Convertible,Genesis,X Convertible
Mitsubishe,Airtrek,Mitsubishi,Airtrek
Toyotta,Century SUV,Toyota,Century SUV
Honnda,Elevate,Honda,Elevate
Forde,Puma ST,Ford,Puma ST
Chevrolett,Corvette E-Ray,Chevrolet,Corvette E-Ray
Mersedes,CLE,Mercedes,CLE
Nisan,Ariya Nismo,Nissan,Ariya Nismo
Volswagon,ID.7,Volkswagen,ID.7
Hyndai,Stargazer,Hyundai,Stargazer
Kiaa,EV5,Kia,EV5
BMV,i5 M60,BMW,i5 M60
Audi,A6 Avant e-tron,Audi,A6 Avant e-tron
Lexuss,GX,Lexus,GX
Mazda,CX-70,Mazda,CX-70
Subaru,Forester Wilderness,Subaru,Forester Wilderness
